Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
TCGA-BH-A209-11A-42R-A157-07	0.082323594	0	0.011034646	0.122229808	0.228522992	0.000832867	0.032351979	0	0.028864874	0	0.025469171	0.005642581	0.004134091	0.112657972	0.228896476	0.040773438	0.030639243	0.04562627	0	0	0
TCGA-BH-A0C3-11A-23R-A12P-07	0.203925098	0	0.17926826	0.140684945	0.234638073	0	0	0	0	0.010609235	0	0.012572662	0.021667238	0.002972523	0.090152796	0.018093943	0.005240093	0.080175135	0	0	0
TCGA-E9-A1RD-11A-33R-A157-07	0.025282588	0	4.05E-05	0.054611298	0.072203836	0	0	0	0.032507996	0	0.00794931	0	0.163288786	0.031801843	0.366695792	0.003560944	0	0.242057123	0	0	0
TCGA-A7-A0D9-11A-53R-A089-07	0.085851465	0	0.006742808	0.003549802	0.155756744	0	0	0	0.044610041	0	0.053428067	0.004032406	0.046537652	0.033543929	0.408785422	0.019826583	0.004999328	0.052283397	0.017576372	0	0.062475985
TCGA-E2-A1IG-11A-22R-A144-07	0.121395286	0	0.01000953	0.131731322	0.165335351	0	0.005123915	0.000440842	0	0.00674955	0.014488232	0.018176862	0.025949344	0.053621049	0.255707782	0.049001876	0.014437642	0.127831417	0	0	0
TCGA-A7-A13E-11A-61R-A12P-07	0.081136685	0	0.008081591	0.032044941	0.106216998	0	0.002973706	0	0	0	0.020315852	0.027254691	0	0.04772192	0.554025798	8.28E-05	0	0.111020168	0	0	0.009124853
TCGA-E2-A15I-11A-32R-A137-07	0.243541574	0	0.114830031	0.008937011	0.268056052	0	0.001786394	0	0.046700904	0	0.047450251	0	0	0.034061978	0.168722659	0.003826092	0	0.048319769	0.008161489	0.005605796	0
TCGA-A7-A13G-11A-51R-A13Q-07	0.046366584	0	0	0	0.174613379	0	0	0	0.024085955	0	0.025959278	0.022770787	0	0.03489446	0.503678605	0	0	0.167630952	0	0	0
TCGA-A7-A0DC-11A-41R-A089-07	0.06492567	0	0.026289759	0.031583247	0.258227817	0	0	0	0	0.000120103	0	0.024217081	0	0.032816372	0.376125575	0.03459236	0.008028105	0.133911052	0	0	0.00916286
TCGA-E2-A153-11A-31R-A12D-07	0.191035753	0	0.063082017	0.074220928	0.146901579	0.004032896	0.013171868	0.017797119	0	0	0	0	0.273221726	0.019677207	0.163403406	0	0	0.0334555	0	0	0
TCGA-E2-A1L7-11A-33R-A144-07	0.145067382	0	0.063828493	0.115528403	0.194918706	0.004448566	0.015171071	0	0	0	0.03658265	0.0305451	0	0.091290218	0.193008549	0.033683393	0	0.075802495	0	0.000124975	0
TCGA-BH-A0B8-11A-41R-A089-07	0.028934741	0	0.000413149	0.03842356	0.18507131	0	0	0	0.063146515	0	0.038947981	0.00204173	0	0.079355886	0.481452503	0.007425129	0	0.045744752	0.017062758	0.011979984	0
TCGA-BH-A1F2-11A-32R-A13Q-07	0.091768829	0	0.037903125	0.057623863	0.162235342	0	0.019567779	0	0	0	0.029725452	0.015915017	0	0.115287666	0.194252024	0.056580179	0	0.194908972	0.006596486	0	0.017635265
TCGA-BH-A0BS-11A-11R-A12P-07	0.112614068	0	0.020500395	0.187790359	0.378804478	0	0	0	0	0	0	0.051458953	0.101887966	0.032623812	0.045737269	0.01237297	0	0.036983199	0	0.01922653	0
TCGA-BH-A0BC-11A-22R-A089-07	0.046205499	0	0.025552421	0.147712061	0.138482106	0	0.023651607	0.009135345	0	0.011734912	0	0.039121778	0.000192567	0.012564875	0.359002397	0.006583416	0.036680596	0.110812428	0.022826588	0.009741404	0
TCGA-BH-A0B3-11B-21R-A089-07	0.102795757	0	0.046816499	0.177890581	0.25995154	0.010318569	0.015271352	0	0	0	0	0.005924499	0.003734012	0.093474019	0.175256298	0.05892395	0	0.049642925	0	0	0
TCGA-BH-A0BZ-11A-61R-A12P-07	0.069065448	0	0.002158449	0.060316446	0.165838669	0	0.044852896	0	0	0	0.060207102	0.019473198	0	0.035140238	0.336682644	0.008868232	0.009370881	0	0.1749653	0.004129814	0.008930683
TCGA-BH-A18L-11A-42R-A12D-07	0.087845688	0	0.02270531	0.04870596	0.130654036	0	0.025575316	0	0.037762209	0	0.028675945	0	0.026796763	0.062652364	0.40043138	0	0.003370163	0.123529776	0.001295091	0	0
TCGA-E2-A1LB-11A-22R-A144-07	0.140870901	0	0.060824229	0.058337783	0.32755539	0	0.122474155	0	0	0.017444703	0.008131582	0.014384359	0.001390104	0.081744702	0.120492922	0	0.023107476	0.023241694	0	0	0
TCGA-E2-A15M-11A-22R-A12D-07	0.072197256	0	0.007500917	0.045534251	0.244354901	0	0.053544216	0	0	0	0.102164661	0.014312558	0	0.031016642	0.20364667	0.013617355	0.00453747	0	0.207573102	0	0
TCGA-BH-A0E0-11A-13R-A089-07	0.132271334	0	0.03868018	0.19229291	0.066923077	0	0.127034505	0.002120061	0	0	0.019809056	0	0.219987456	0.009427429	0.174725323	0.000697999	0	0.004777103	0.011253568	0	0
TCGA-BH-A203-11A-42R-A169-07	0.039128511	0	0.078571497	0.148309832	0.313597708	0	0	0	0	0.021986643	0	0.003523475	0.020606178	0.019568819	0.275514747	0.018321969	0.046334297	0.014536324	0	0	0
TCGA-GI-A2C8-11A-22R-A16F-07	0.048345827	0	0.001689951	0.070139571	0.228630313	0.005693391	0.000329729	0	0.002565382	0.025792484	0	0.028567075	0	0.046944665	0.274715643	0	0.022001404	0.102827574	0.029101308	0.075714675	0.036941006
TCGA-BH-A0DK-11A-13R-A089-07	0.093888533	0	0.04976308	0.052179739	0.171847873	0	0.081582639	0	0	0	0.03512276	0.000739535	0.20563912	0.022917702	0.204650329	0	0	0.081668689	0	0	0
TCGA-BH-A208-11A-51R-A157-07	0.087013372	0	0.230863348	0.110710115	0.249832469	0	0.022539054	0	0	0	0	0.018649105	0	0	0.15297409	0.005304494	0.074192299	0.047921655	0	0	0
TCGA-E9-A1ND-11A-43R-A144-07	0.026434159	0	0	0.086443774	0.046318009	0.012479949	0	0	0	0.013199229	0	0	0.2237187	0.021114039	0.485452465	0.008964046	0	0.075875631	0	0	0
TCGA-A7-A0CH-11A-32R-A089-07	0.098644556	0	0	0.03778062	0.16987467	0.007781137	0.00582438	0.007545483	0	0	0.056165231	0	0.182223892	0.042170395	0.298605572	7.19E-05	0	0.093312137	0	0	0
TCGA-BH-A204-11A-53R-A157-07	0.094778818	0	0.006060057	0	0.20511493	0	0.005751405	0	0.031020708	0	0.072961884	0	0	0.051644345	0.3377508	0.003122981	0.006268154	0.138919672	0.039003641	0.007602605	0
TCGA-BH-A0HA-11A-31R-A12P-07	0.138422003	0	0.04403035	0.237664745	0.417659302	0	0	0	0	0	0.043302164	0.025471686	0.008417859	0	0.060958546	0	0.021483732	0	0.002589613	0	0
TCGA-BH-A0DV-11A-22R-A12P-07	0.047912028	0	0.129687923	0.195248798	0.191562625	0	0.038113917	0	0	0	0.020414074	0.024210809	0.045678503	0.012318522	0.238967695	0.024814391	0.015742462	0.008492125	0	0.006836126	0
TCGA-E2-A158-11A-22R-A12D-07	0.022782903	0	0.004312642	0.034128849	0.219862119	0	0	0	0	0	0.061627813	0.041123363	0	0.024167735	0.319030827	0.003471355	0	0.251104052	0	0	0.018388342
TCGA-BH-A1ET-11B-23R-A137-07	0.12470909	0	0.02427833	0.073980955	0.318545245	0.00557923	0	0	0	0.038911913	0	0.004359347	0	0.024745811	0.348136226	0	0	0.025626973	0.01112688	0	0
TCGA-AC-A2FF-11A-13R-A17B-07	0.093112933	0	0.061286384	0.071178809	0.141943653	0	0.037042616	0.004899372	0.005443351	0	0.00199719	0	0.254473417	0.042542328	0.199522896	0.040560191	0	0.045996861	0	0	0
TCGA-BH-A18M-11A-33R-A12D-07	0.242642212	0	0.035418531	0.056859694	0.175856642	0	0.012290039	0	0	0	0.02949163	0.028068682	0	0.03307068	0.23297983	0.017837105	0.008887895	0.090704857	0.0041233	0	0.031768902
TCGA-AC-A2FB-11A-13R-A17B-07	0.078223133	0	0.101554946	0.062205984	0.217848555	0.006695156	0	0	0.009317098	0	0.021905384	0.017844656	0	0.045386529	0.269652221	0.043585824	0	0.124315742	0	0	0.001464772
TCGA-BH-A0DZ-11A-22R-A089-07	0.186735114	0	0.123273293	0.160691746	0.090487616	0	0.114164424	0.00343791	0	0	0.013588169	0.022796692	0.031264039	0.01151862	0.154514623	0.022898981	0.00623738	0.058391395	0	0	0
TCGA-BH-A0DD-11A-23R-A12P-07	0.026798829	0	0	0.022030661	0.09015342	0	0	0.000461727	0.054227666	0	0.064268993	0	0.27405573	0.022846734	0.366630715	0	0.001080125	0.074966875	0.002478526	0	0
TCGA-BH-A0AZ-11A-22R-A12P-07	0.20555127	0	0.087591732	0.074620204	0.22761482	0	0.024321707	0	0	0.003365955	0.001050396	0.00514575	0.080274114	0.013144131	0.203589607	0.052776716	0	0.01281488	0.008138718	0	0
TCGA-BH-A1FM-11B-23R-A13Q-07	0.159726636	0	0.121250084	0.136519375	0.163473366	0	0.014858804	0	0	0.017354129	0.021537696	0.024969546	0	0.018337089	0.240932692	0.007015337	0.005881542	0.068143704	0	0	0
TCGA-E9-A1NA-11A-33R-A144-07	0.064648153	0	0.050949055	0.132901698	0.096428465	0	0.012391547	0	0	0.036512628	0.007703413	0.042706546	0	0.016119927	0.354270289	0.005486714	0	0.164585337	0	0	0.015296227
TCGA-E9-A1N9-11A-71R-A14D-07	0.084928604	0	0.151046002	0.121306559	0.215152151	0	0.036851773	0	0	0.028382734	0.008652323	0.022969013	0	0.023986707	0.180337389	0.056168899	0.012863391	0.057354456	0	0	0
TCGA-BH-A18V-11A-52R-A12D-07	0.12625767	0	0.072955083	0.134493474	0.272689802	0.000835997	0.01690658	0.008115172	0	0	0	0.032351561	0	0.011793111	0.246746347	0.000547634	0.003886329	0.072421239	0	0	0
TCGA-BH-A1EU-11A-23R-A137-07	0.08008168	0	0.005522895	0.106258753	0.231997429	0.010815926	0.00644976	0	0	0.032037869	0	0.013106169	0	0.013185336	0.347042168	0.009601049	0	0.143900966	0	0	0
TCGA-E2-A1BC-11A-32R-A12P-07	0.03983281	0	0.002938023	0.081917923	0.236512448	0	0.010241354	0	0	0	0.038864704	0.022179571	0	0.024025946	0.316263988	0.001372551	0	0.209229455	0	0	0.016621228
TCGA-BH-A1F8-11B-21R-A13Q-07	0.104465087	0	0.030901789	0.166088081	0.090008349	0	0.013209124	0	0.021604885	0.006519244	0.019312996	0	0.017243486	0.034141472	0.381137195	0	0	0.115368294	0	0	0
TCGA-E9-A1RF-11A-32R-A157-07	0.034285209	0	0.000516089	0.039827895	0.161516342	0.005978298	0	0	0.037452921	0	0.008319194	0	0	0.027621765	0.581116827	0.026957439	0.004677636	0.068123009	0	0	0.003607378
TCGA-BH-A1FR-11B-42R-A13Q-07	0.034447901	0	0.020864425	0.038655896	0.129383399	0.001943925	0.010681842	0.000871393	0.008662173	0.004018913	0	0	0.438230237	0.037959278	0.187085082	0.021648803	0	0.065546732	0	0	0
TCGA-BH-A0B7-11A-34R-A115-07	0.099927356	0	0.076903707	0.186064386	0.288880325	0	0.031104914	0	0	0.024899118	0	0.010028812	0.060395552	0.013391195	0.154874716	0.02293978	0.019650553	0	0.010939584	0	0
TCGA-BH-A0BV-11A-31R-A089-07	0.112238321	0	0.078796111	0.075516561	0.133255016	0	0.100731838	0	0	0	0.054789832	0.008536834	0.037070199	0.023416896	0.247005035	0.004895033	0.037264808	0.070000002	0.016483513	0	0
TCGA-BH-A0C0-11A-21R-A089-07	0.080990584	0	0.075528231	0.132835406	0.255681892	0	0.055126281	0	0	0	0.001226959	0.029980276	0	0.067418838	0.148485015	0.120461999	0	0.032264519	0	0	0
TCGA-A7-A0DB-11A-33R-A089-07	0.003321795	0	0	0.006641127	0.075698102	0.001052983	1.99E-05	0	0	0.008966078	0.011381652	0.026148265	0	0.039262753	0.681100269	0.010821551	0	0.132041188	0	0	0.003544353
